OTUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,IA1,IA2,IA3,IA4,IA5,IA18,IA19,IA20,IA21,IA22,IA24,IA25,IA27,IA29,IA30,IA35,IA37,IA39,IA40,IA41,IA42,IA43,IA44,IA45,IA46,IS6,IS7,IS9,IS10,IS11,IS12,IS13,IS14,IS15,IS17,IS50,IS23,IS28,IS31,IS32,IS33,IS34,IS36,IS38,IS47,IS48
1884,33,121,78,135,80,231,70,33,1,79,89,37,145,371,373,474,309,279,329,333,291,513,2177,518,1879,103,1067,1873,136,41,71,121,23,355,110,90,112,904,967,45,977,1421,576,88,380,685,321,680,1210,818,135,499,1271,787,266,244,284,1581
1933,0,2,3,1,1,6,1,0,0,4,2,1,3,7,6,5,9,3,6,5,5,16,33,11,30,4,14,27,4,1,2,0,0,6,2,0,2,11,18,2,16,23,15,1,5,12,5,15,17,10,3,9,27,17,8,2,5,39
1991,2,3,2,3,1,13,2,2,1,1,4,0,8,13,9,15,4,11,12,15,16,24,53,23,69,5,31,66,4,3,4,3,0,7,3,2,3,28,28,1,32,53,18,6,6,20,15,29,45,18,8,18,44,35,4,3,10,70
1996,1,1,3,0,2,4,0,2,0,4,2,0,3,7,7,10,4,2,7,2,4,13,38,12,45,4,18,37,2,2,3,1,1,9,3,3,2,20,11,0,13,22,14,1,2,7,9,18,29,10,1,13,30,23,4,2,8,38
1998,2,0,0,1,0,3,0,3,0,0,2,0,1,1,3,1,5,4,6,4,5,6,15,9,21,2,11,26,2,0,1,0,0,8,1,3,2,6,8,2,10,22,10,0,5,9,2,8,18,9,2,5,13,12,2,3,3,28
2002,0,0,1,2,0,1,1,1,0,0,1,0,1,3,1,2,0,1,1,3,1,3,5,2,13,0,4,12,2,0,1,0,1,2,0,2,0,2,6,1,9,11,3,0,0,6,3,4,8,2,1,4,8,6,2,1,3,16
2005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,3,2,3,3,5,2,15,5,15,2,1,10,2,0,2,0,1,3,0,0,1,4,3,1,6,3,3,1,0,4,3,5,10,2,0,3,14,5,2,2,4,16
2019,0,2,1,0,0,2,1,0,0,0,1,0,3,7,5,6,0,3,4,7,3,8,24,9,31,1,15,14,1,1,0,3,1,5,0,1,2,4,8,3,9,15,6,4,0,6,5,7,17,6,1,4,13,11,6,3,2,36
2026,0,1,0,1,0,0,0,0,0,0,0,0,1,2,2,0,3,0,2,2,2,2,4,3,9,2,3,2,0,0,1,2,0,3,1,0,1,3,1,1,2,6,2,2,1,1,3,4,7,4,0,1,4,3,1,2,2,11
2040,0,0,0,0,0,1,0,0,0,0,1,0,0,5,1,3,0,0,0,2,0,5,9,2,9,0,4,6,2,1,0,1,0,4,1,0,1,2,1,0,1,5,1,1,0,3,2,3,4,2,0,0,6,2,0,1,4,13
2044,0,0,0,0,1,0,0,0,1,0,0,0,1,2,2,0,0,3,2,2,1,5,5,2,14,2,5,4,2,0,0,0,0,4,0,1,0,3,3,1,7,7,3,0,1,5,3,2,6,0,0,0,5,7,3,1,1,10
2047,0,1,0,0,0,2,0,1,0,0,1,0,1,1,0,1,2,1,4,2,2,4,6,2,3,1,2,5,0,0,0,1,0,0,0,1,0,3,5,0,10,2,1,1,1,4,1,3,5,2,2,3,5,3,1,0,0,15
2052,1,1,0,0,1,2,0,1,0,1,0,3,3,4,0,2,4,2,4,2,5,4,16,7,9,0,8,12,7,2,0,0,1,3,2,0,1,7,6,3,7,13,6,5,6,7,2,4,11,4,6,3,10,5,3,3,2,21
2056,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,2,1,1,2,3,5,2,10,0,5,8,0,2,0,2,1,1,0,1,0,2,0,1,3,8,1,0,0,3,3,4,3,3,0,2,6,2,5,0,2,12
2077,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,3,2,3,5,3,1,4,12,6,12,2,2,11,2,0,0,1,0,3,2,1,0,4,7,1,6,13,7,1,4,3,6,1,6,3,2,2,10,12,2,5,2,19
2100,0,1,3,1,0,2,0,0,1,1,1,0,5,5,6,8,11,4,5,5,5,11,14,8,32,6,14,20,1,0,1,2,0,7,4,4,3,13,10,4,11,26,10,3,9,11,12,7,14,15,8,13,16,15,9,8,12,58
