OTUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,IA1,IA2,IA3,IA4,IA5,IA18,IA19,IA20,IA21,IA22,IA24,IA25,IA27,IA29,IA30,IA35,IA37,IA39,IA40,IA41,IA42,IA43,IA44,IA45,IA46,IS6,IS7,IS9,IS10,IS11,IS12,IS13,IS14,IS15,IS17,IS50,IS23,IS28,IS31,IS32,IS33,IS34,IS36,IS38,IS47,IS48
1763,624,170,463,233,769,487,137,76,6,118,454,526,5874,5749,3536,2839,10233,499,481,637,544,1128,9611,596,4155,6945,3747,5639,297,96,157,402,75,1964,191,339,343,3545,8099,88,3295,8882,1417,4017,7877,9350,936,1920,2364,5661,302,1320,3209,2427,558,531,608,2471
1766,325,122,287,161,454,286,97,52,4,79,317,232,2756,2892,2048,1803,5120,392,379,481,433,805,5997,490,2784,3297,2315,3621,202,65,99,265,39,1237,137,229,230,2311,4601,58,2179,4845,998,1917,4218,5091,623,1277,1644,3222,172,947,2314,1701,360,400,406,1614
1774,35,11,25,12,43,21,5,5,0,7,18,27,314,289,180,147,592,17,29,37,24,55,500,23,199,354,180,273,14,3,8,20,3,108,13,12,18,201,433,3,182,448,79,222,400,502,46,88,100,287,13,71,160,130,26,25,22,113
1782,31,13,27,19,49,34,10,4,0,3,18,17,282,334,224,177,552,43,36,55,47,57,639,50,260,354,276,421,19,8,16,24,6,169,23,26,25,241,503,6,208,525,118,231,505,573,59,143,170,358,19,97,244,189,40,39,45,154
1798,4,7,9,9,16,14,2,0,0,6,9,4,68,77,57,50,133,16,18,22,14,22,232,29,114,59,76,154,5,4,8,10,3,36,7,8,5,108,127,2,95,154,45,32,125,168,36,39,61,145,8,33,83,58,21,17,14,71
1813,16,6,12,10,21,17,6,3,1,4,18,6,49,62,69,95,123,25,19,28,26,44,317,53,187,64,140,213,14,6,6,16,4,77,12,17,7,140,173,6,105,172,70,35,125,206,29,82,114,170,15,59,139,114,27,26,16,92
1816,6,2,10,8,9,10,6,1,0,3,8,2,25,34,33,51,55,12,12,14,17,27,170,18,83,34,56,105,10,0,1,6,1,27,4,10,7,61,93,2,78,68,31,16,69,114,17,46,43,77,7,29,66,39,13,14,9,42
1818,20,33,22,35,48,62,23,7,1,7,49,19,108,217,247,239,267,75,72,92,81,138,767,120,464,159,353,593,34,11,18,35,10,170,26,39,35,327,478,11,290,453,187,95,343,447,93,221,299,360,38,157,386,305,65,71,58,277
1827,31,24,27,25,41,56,15,8,0,16,37,14,85,154,153,196,202,67,65,88,60,120,771,125,463,114,289,528,42,11,14,40,10,159,16,33,30,310,400,11,274,408,183,60,252,390,83,205,327,330,33,135,332,250,62,61,51,245
1836,12,20,24,14,25,39,9,3,0,14,22,9,44,104,95,124,97,32,47,51,46,85,431,63,310,80,181,279,24,7,15,17,3,76,19,20,12,187,200,3,189,226,110,26,141,240,49,139,164,193,19,100,208,145,29,40,29,152
1839,13,13,25,17,18,31,12,4,0,6,14,8,42,82,88,96,102,45,36,39,42,61,370,50,270,58,172,299,19,6,10,20,5,74,17,25,15,171,200,4,164,208,96,26,128,183,39,113,172,170,23,85,191,134,29,40,29,146
1847,5,8,7,9,7,10,1,4,0,6,11,3,10,38,46,44,46,19,19,26,28,26,194,32,114,23,86,121,13,0,6,14,1,36,5,8,8,82,114,0,80,88,47,9,56,87,20,58,68,74,13,36,89,72,11,14,9,61
1849,4,11,8,17,9,11,10,2,0,5,6,6,16,24,39,57,40,24,17,23,20,41,195,26,111,28,66,113,7,2,1,6,3,34,8,3,5,81,73,2,71,91,45,9,41,73,24,43,85,75,9,19,105,65,20,8,8,70
1851,1,5,11,10,12,9,6,3,0,7,9,3,11,27,32,29,32,15,18,25,27,35,179,33,123,20,81,121,9,4,4,5,1,36,7,8,6,98,91,2,53,87,49,4,50,76,25,52,54,72,7,41,63,65,15,13,18,78
1856,16,15,28,25,17,43,11,7,1,8,28,12,55,98,105,123,100,52,55,53,66,84,493,76,343,62,208,366,15,9,16,22,3,89,20,18,17,214,256,4,174,252,119,31,127,225,60,145,214,233,14,107,261,159,44,38,42,235
1860,2,9,7,4,5,17,5,0,0,6,9,2,9,29,35,47,31,10,19,20,13,30,172,25,112,13,66,125,7,0,4,6,2,28,7,9,11,83,83,2,62,83,44,10,40,61,22,42,65,62,3,27,79,78,8,11,9,60
1862,2,4,6,7,6,9,3,1,0,4,3,3,10,32,21,33,24,18,16,21,15,25,150,24,93,17,59,115,5,3,3,9,1,26,6,6,8,58,54,2,74,86,35,7,34,61,22,50,59,65,6,25,103,56,11,13,12,61
1865,12,17,19,22,14,49,16,5,3,17,22,8,31,93,76,103,83,53,58,67,44,84,480,62,331,47,209,374,15,3,12,23,5,80,15,22,11,220,230,4,199,242,93,30,99,161,63,136,222,165,25,97,229,182,48,49,41,226
1873,7,23,16,20,23,40,13,9,1,12,24,9,26,79,82,97,77,54,42,54,49,84,432,88,319,45,181,346,17,3,10,20,1,83,19,23,19,154,167,11,173,219,103,22,93,144,57,152,195,172,22,76,215,160,40,41,36,224
1894,1,3,0,1,0,4,2,1,1,4,2,3,5,12,8,7,5,4,9,7,4,15,53,6,43,6,29,42,1,1,3,3,0,10,4,5,2,22,25,1,18,31,14,2,11,18,6,25,32,26,1,11,28,21,3,3,5,30
